,location,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Category,ZIP
0,NAPA,38.41069666247486,-122.29853512315688,Regusci Winery,38.39791701217118,-122.3138420267457,Winery,94558
1,NAPA,38.41069666247486,-122.29853512315688,Stag's Leap Wine Cellars,38.39894846287996,-122.3233330547871,Winery,94558
2,NAPA,38.41069666247486,-122.29853512315688,Clos Du Val Winery,38.38683234995138,-122.31268383996381,Winery,94558
3,NAPA,38.41069666247486,-122.29853512315688,Stags' Leap Manor,38.4141798656248,-122.32145077054545,Vineyard,94558
4,NAPA,38.41069666247486,-122.29853512315688,Pine Ridge Vineyards,38.40599672180325,-122.33137376953036,Vineyard,94558
5,NAPA,38.41069666247486,-122.29853512315688,Chimney Rock Winery,38.39051120721834,-122.31371919563249,Winery,94558
6,NAPA,38.41069666247486,-122.29853512315688,Robert Sinskey Vineyards,38.42526599492749,-122.33705052672825,Wine Bar,94558
7,NAPA,38.41069666247486,-122.29853512315688,Cliff Lede Vineyards,38.424206866230804,-122.3445161548612,Winery,94558
8,NAPA,38.41069666247486,-122.29853512315688,Silverado Vineyards,38.4123509986691,-122.33709416307995,Vineyard,94558
9,NAPA,38.41069666247486,-122.29853512315688,Hotel Yountville,38.3981281,-122.3577332,Hotel,94558
10,NAPA,38.41069666247486,-122.29853512315688,Bardessono,38.40294,-122.36031,Hotel,94558
11,NAPA,38.41069666247486,-122.29853512315688,Bouchon Bakery,38.40237205621243,-122.3619045464429,Bakery,94558
12,NAPA,38.41069666247486,-122.29853512315688,Paraduxx,38.43715871890862,-122.35143626221961,Winery,94558
13,NAPA,38.41069666247486,-122.29853512315688,Hagafen Cellars,38.36460911775188,-122.28948712060497,Winery,94558
14,NAPA,38.41069666247486,-122.29853512315688,Bouchon,38.40257641115427,-122.36207423122298,French Restaurant,94558
15,NAPA,38.41069666247486,-122.29853512315688,Villagio Inn & Spa,38.40012898582015,-122.35976186747644,Hotel,94558
16,NAPA,38.41069666247486,-122.29853512315688,Bistro Jeanty,38.4009610960337,-122.3598801572208,French Restaurant,94558
17,NAPA,38.41069666247486,-122.29853512315688,ad hoc,38.399189,-122.358514,New American Restaurant,94558
18,NAPA,38.41069666247486,-122.29853512315688,Black Stallion Winery,38.35985533471573,-122.29135831590598,Winery,94558
19,NAPA,38.41069666247486,-122.29853512315688,Bottega,38.40180080849876,-122.36243745499485,Italian Restaurant,94558
20,FAIRFIELD,38.279136990081774,-122.02594763759964,Heretic Brewing Company,38.27357925108347,-122.0153710887559,Brewery,94533
21,FAIRFIELD,38.279136990081774,-122.02594763759964,Texas Roadhouse,38.289624,-122.034869,Steakhouse,94533
22,FAIRFIELD,38.279136990081774,-122.02594763759964,Raley’s,38.289158402258266,-122.03325297083899,Supermarket,94533
